index,PSCT,ticker
2016-04-29 00:00:00+00:00,29.2649519244,MOAT
2016-01-29 00:00:00+00:00,27.0128664638,QQQE
2016-02-29 00:00:00+00:00,27.1494017691,QQQE
2016-03-31 00:00:00+00:00,28.677679055,QQQE
2016-04-29 00:00:00+00:00,28.0662079699,QQQE
2016-01-29 00:00:00+00:00,19.55004308,GURU
2016-02-29 00:00:00+00:00,19.777259077,GURU
2016-03-31 00:00:00+00:00,20.8566297364,GURU
2016-04-29 00:00:00+00:00,20.9512083952,GURU
2016-01-29 00:00:00+00:00,14.6211495251,EMLP
2016-02-29 00:00:00+00:00,15.0659825032,EMLP
2016-03-31 00:00:00+00:00,16.0921904295,EMLP
2016-04-29 00:00:00+00:00,16.8577841187,EMLP
2016-01-29 00:00:00+00:00,76.8891188375,VTHR
2016-02-29 00:00:00+00:00,78.1165392066,VTHR
2016-03-31 00:00:00+00:00,82.6826940573,VTHR
2016-04-29 00:00:00+00:00,83.0436769618,VTHR
2016-01-29 00:00:00+00:00,37.1291772532,VTWO
2016-02-29 00:00:00+00:00,36.9942601847,VTWO
2016-03-31 00:00:00+00:00,39.9629669963,VTWO
2016-04-29 00:00:00+00:00,40.5801382824,VTWO
2016-01-29 00:00:00+00:00,31.9979849629,EWSC
2016-02-29 00:00:00+00:00,33.5084248391,EWSC
2016-03-31 00:00:00+00:00,36.6384846385,EWSC
2016-04-29 00:00:00+00:00,37.4895084219,EWSC
2016-01-29 00:00:00+00:00,34.2555387519,ALFA
2016-02-29 00:00:00+00:00,33.999533001,ALFA
2016-03-31 00:00:00+00:00,33.0247418724,ALFA
2016-04-29 00:00:00+00:00,32.5521158706,ALFA
2016-01-29 00:00:00+00:00,63.4181272033,VTWV
2016-02-29 00:00:00+00:00,64.4790633963,VTWV
2016-03-31 00:00:00+00:00,70.00107532,VTWV
2016-04-29 00:00:00+00:00,71.184751859,VTWV
2016-01-29 00:00:00+00:00,22.9686293692,SPHB
2016-02-29 00:00:00+00:00,23.0044060504,SPHB
2016-03-31 00:00:00+00:00,25.7692282159,SPHB
2016-04-29 00:00:00+00:00,27.4609212109,SPHB
2016-01-29 00:00:00+00:00,50.0334446144,XBI
2016-02-29 00:00:00+00:00,47.4105241747,XBI
2016-03-31 00:00:00+00:00,51.1916612278,XBI
2016-04-29 00:00:00+00:00,53.4410818818,XBI
2016-01-29 00:00:00+00:00,40.0747556422,XPH
2016-02-29 00:00:00+00:00,37.9400454673,XPH
