TICKER,Sector,Percentage of portfolio,Percentage of sector
HTCMF,Industrials,4.7054394880481836e-05,0.000564652738565782
BWXT,Industrials,4.7054394880481836e-05,0.000564652738565782
JBT,Industrials,4.7054394880481836e-05,0.000564652738565782
BXBLY,Industrials,4.7054394880481836e-05,0.000564652738565782
TDG,Industrials,4.7054394880481836e-05,0.000564652738565782
IPWG,Industrials,4.7054394880481836e-05,0.000564652738565782
RKLC,Industrials,4.7054394880481836e-05,0.000564652738565782
EXPGF,Industrials,4.7054394880481836e-05,0.000564652738565782
RLGT,Industrials,4.7054394880481836e-05,0.000564652738565782
SECI,Industrials,4.7054394880481836e-05,0.000564652738565782
ATCO,Industrials,4.7054394880481836e-05,0.000564652738565782
MKEWF,Industrials,4.7054394880481836e-05,0.000564652738565782
AUSI,Industrials,4.7054394880481836e-05,0.000564652738565782
NM,Industrials,4.7054394880481836e-05,0.000564652738565782
TRTN,Industrials,4.7054394880481836e-05,0.000564652738565782
WKRCF,Industrials,4.7054394880481836e-05,0.000564652738565782
RPSGF,Industrials,4.7054394880481836e-05,0.000564652738565782
DUAVF,Industrials,4.7054394880481836e-05,0.000564652738565782
AAL,Industrials,4.7054394880481836e-05,0.000564652738565782
QEGY,Industrials,4.7054394880481836e-05,0.000564652738565782
ODYC,Industrials,4.7054394880481836e-05,0.000564652738565782
CYJBF,Industrials,4.7054394880481836e-05,0.000564652738565782
SHLRF,Industrials,4.7054394880481836e-05,0.000564652738565782
WRTBF,Industrials,4.7054394880481836e-05,0.000564652738565782
OERLF,Industrials,4.7054394880481836e-05,0.000564652738565782
OC,Industrials,4.7054394880481836e-05,0.000564652738565782
BMBLF,Industrials,4.7054394880481836e-05,0.000564652738565782
AYYLF,Industrials,4.7054394880481836e-05,0.000564652738565782
RKWBF,Industrials,4.7054394880481836e-05,0.000564652738565782
IGPPF,Industrials,4.7054394880481836e-05,0.000564652738565782
MIESF,Industrials,4.7054394880481836e-05,0.000564652738565782
IMIAY,Industrials,4.7054394880481836e-05,0.000564652738565782
